id,title,title_display,parent_id,change notes,weight,encyc_links,description,created,modified
11,Railroads [11],Railroads,5,,,,"When the 1882 Chinese Exclusion Act ended the immigration of workers from China, railroad companies turned to the Japanese to fill the void. Labor contracting companies such as Furuya and Tobo recruited workers for the Northern Pacific and Great Northern railways. Issei (Japanese immigrant) men were primarily manual laborers, working ten-hour days laying tracks.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
12,Hotel industry [12],Hotel industry,5,,,,"Many entrepreneurial Japanese families owned and operated hotels in Japantowns or Chinatowns. In Seattle, for instance, the ""skidroad"" neighborhood featured many Japanese-run hotels where single men of various races and backgrounds lived. The hotels provided housing as well as income for the families.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
14,Domestic service [14],Domestic service,5,,,,"Before World War II, many newly arrived young Issei (Japanese immigrant) men and, later, Issei women worked as domestics. Wages were low -- about $1.50 per week in 1900 -- but room and board were provided, and living with an American family provided a means of quickly learning the English language and American customs. After the war, for want of better jobs, dispossessed older Issei and college-age Nisei (their American-born children) again took employment as domestics for well-to-do families.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
15,Community activities [15],Community activities,0,,,,"Japanese Americans of the pre-World War II era, urban and rural dwellers alike, lived in tight-knit communities bound together by a wide variety of shared associations and institutions. In an era marked by pronounced anti-Asian racism, Japanese Americans in cities tended to live in segregated ghettoes. While discrimination was the reason for isolated Japanese American neighborhoods, the well-organized and tight-knit community provided a rich social and cultural foundation for the Japanese immigrants and their children.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
16,Associations and organizations [16],Associations and organizations,15,,,,"The Issei (Japanese immigrants) established cultural, business, and religious organizations that supported ethnic enclaves. This early form of networking served more than social and economic interests -- it became a substitute for the extended-family and village systems left behind in Japan. Christian and Buddhist neighborhood churches, Japanese language schools, and sports leagues allowed the Nisei (second-generation Japanese Americans) to participate in organized social activities as well as form peer networks.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
17,Kenjinkai [17],Kenjinkai,16,,,,"Kenjinkai were organizations made up of Issei (Japanese immigrants) who shared roots in the same prefecture (ken) in Japan. They fostered a sense of community for immigrants in a strange land by sponsoring social events such as dinners and picnics, serving as mutual aid societies, and providing informal networks for apprenticeships, hiring, and business patronage.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
18,Economic associations [18],Economic associations,16,,,,"Since banks would not lend to Japanese immigrants, these enterprising Issei formed groups to pool their resources. For the tanomoshii system of credit, members would contribute monthly to a pooled account and take turns drawing funds to start or expand a business. The Japanese also formed farming cooperatives that helped growers purchase supplies and market their crops. Under this system, a Japanese grower placed his produce on consignment with a Japanese packer-shipper who would sell the produce to a Japanese fruit-stand operator.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
19,Veterans' organizations [19],Veterans' organizations,296,,,,"Serving in the U.S. military during World War II despite the incarceration was a defining experience for many Nisei (second-generation Japanese American) men. Even as their members age, Nisei veterans' organizations continue to be active community groups.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
20,The Japanese American Citizens League [20],The Japanese American Citizens League,16,,,,"The Japanese American Citizens League (JACL) was organized in the late 1920s by a small group of young, professional nisei in response to the anti-Japanese fervor of the times. The organization was decidedly patriotic and dealt with discrimination by emphasizing American citizenship, loyalty, and assimilation. Because of their ideology, JACL members were recruited by the military to assist in carrying out the ""evacuation"" orders, and they urged Japanese Americans to cooperate with the government. The group inspired strong, mixed feelings among Japanese Americans during this time. However, in the years following the war, the JACL regained much of its former support by successfully overturning many legal barriers for Japanese Americans.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
21,Community and social service associations [21],Community and social service associations,16,,,,"After World War II, in areas where Japanese Americans resettled in large numbers, community and social service organizations were formed to meet their needs. In Seattle, for instance, Nisei (second-generation Japanese Americans) organized and raised funds for a retirement home that would be culturally appropriate for the Issei (first-generation immigrants). Further, some Japanese Americans chose to go into social service work, in part motivated by their wartime incarceration.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
22,Student clubs [22],Student clubs,16,,,,"At West Coast universities before World War II, Japanese clubs were formed for students from Japan and Nisei (second-generation Japanese Americans) who were reaching college age. Because it was understood that people of Japanese ancestry would not be accepted at white fraternities, the solution was to form segregated clubs.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
23,Boy Scouts and Girl Scouts of America [23],Boy Scouts and Girl Scouts of America,16,,,,"In the 1920s and 1930s, nisei (second-generation) boys joined Boy Scout troops organized by public schools or community churches. Promoting ""Americanism,"" government administrators condoned Boy Scout activities in the World War II concentration camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
24,Sports [24],Sports,179,,,,"Sports leagues were important institutions for Japanese Americans growing up on the West Coast. Both boys and girls played basketball, baseball and other sports. The traditional Japanese martial arts of judo and kendo were practiced as well. Baseball became the primary sport for young Japanese Americans who were often prohibited from playing in the white leagues. The highly competitive games in the all-Japanese American leagues built pride and a sense of community.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
25,"Festivals, celebrations, and holidays [25]","Festivals, celebrations, and holidays",15,,,,"Sources of Japanese American community interaction included picnics, musicals, concerts, martial arts competitions, and festivals such as Bon Odori (annual Buddhist festival commemorating ancestors).",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
26,Community publications [26],Community publications,387,,,,"The Japanese American press provided a vital sense of community. Numerous newspapers were published in cities and towns up and down the West Coast. Seattle alone boasted two Japanese-language dailies and an English-language weekly for the community. The Japanese American Courier, which appeared in Seattle in 1928, was the first English-language Japanese American newspaper in the nation.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
27,"Nihonmachi (""Japantowns"") [27]","Nihonmachi (""Japantowns"")",15,,,,"Because of housing and employment discrimination, Japanese Americans tended to cluster in ethnic neighborhoods known as Nihonmachi, or ""Japantowns."" Living, working, studying, and worshiping in close proximity made for tight-knit communities. With the forced removal of Japanese Americans in the spring of 1942, the bustling Nihonmachis of the West Coast closed down and never fully recovered, even after the war ended.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
28,Weddings [28],Weddings,179,,,,"The rituals of weddings and funerals, whether Christian or Buddhist, were community events. The ceremonies were often elaborate and blended Japanese and American customs. During the World War II incarceration, many Issei (first-generation immigrant) parents confined in the camps were notified that their sons had died in combat.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
29,Religion and churches [29],Religion and churches,0,,,,"Religion and churches played an important role in the formation and development of West Coast Japanese American communities. While Buddhism is frequently seen as most prominent, Christianity was also influential. Initially focused on helping new male immigrants adjust to life in the United States, churches soon began catering to increasing numbers of families. By the mid-1930s, Japanese Americans' religious affiliations were split fairly evenly between Christianity and Buddhism.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
31,Education [31],Education,0,,,,"Most of the Nisei (second-generation Japanese Americans) who grew up on the West Coast lived in relatively small sections of the city and shared common experiences in the public schools as well as Japanese language schools. The World War II incarceration interrupted thousands of students' elementary, high school and university educations.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
32,Public schools [32],Public schools,31,,,,"Nisei (second-generation) children attended public schools alongside children of other races, although schools in Nihonmachi (Japantown) neighborhoods were overwhelmingly Japanese ethnically. Since Japanese was usually spoken at home, many Nisei learned to speak English in public school. In Seattle, people fondly remember the Bailey Gatzert elementary school whose white principal remained in touch with her students after they were taken to the camps. The Japanese Americans who would have graduated from high school and college in spring 1942 were removed to camps before they could complete the year and attend commencement.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
33,Japanese language schools [33],Japanese language schools,31,,,,"Each day, after public school ended, Nisei (second-generation) children attended Japanese language schools for an hour's instruction in Japanese language and culture. Issei (first-generation) parents wanted their children to learn Japanese to help them succeed in the community and if they ever moved to Japan. The Nisei were moderately interested at best, and language acquisition was spotty. Japanese language schools were considered suspect after the attack on Pearl Harbor, and their principals were among the first arrested.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
34,Higher education [34],Higher education,31,,,,"The Issei (first-generation Japanese immigrants) put great emphasis on education as a means of succeeding in the U.S. While many Nisei (second-generation Japanese Americans) obtained college degrees, they found professions closed to them. It was not uncommon for educated nisei to be forced to settle for menial jobs in the ethnic community. Frequently, Japanese Americans could find jobs commensurate with their education only by becoming independent professionals such as doctors and dentists providing services to the Japanese community. The World War II incarceration interrupted thousands of students' university educations.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
35,Church-run schools [35],Church-run schools [35],31,,,,"Buddhist and Catholic churches ran nursery schools attended by Japanese American children, as did neighborhood Protestant churches. In Seattle, the Maryknoll Catholic school was a prominent institution in the community.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
36,Race and racism [36],Race and racism,0,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
37,Discrimination [37],Discrimination,36,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
38,Cross-racial relations [38],Cross-racial relations,36,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
40,Arts and literature [40],Arts and literature,0,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
42,Identity and values [42],Identity and values,0,,,,"Like millions of other immigrants in the United States, first-generation Japanese and their children felt the tension of maintaining their cultural heritage amid pressures to conform to mainstream society while also dealing with discrimination. Although most new immigrants in this country have had to struggle with these same conflicts, one traumatic event sets Japanese Americans apart from other immigrant groups: the mass incarceration during World War II.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
43,Issei [43],Issei,42,,,,"The earliest wave of Japanese immigrants, the Issei (first generation), had a strong sense of their ethnic identity and retained the values and traditions of their country of birth. Most came to the United States as sojourners and planned to return to Japan after earning their fortunes. In addition, discriminatory laws forbade them from becoming American citizens and from exercising other basic rights, such as owning or leasing land. Since they were thus prevented from fully taking part in American life, it is not surprising that many still identified strongly with the culture of their homeland.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
44,Nisei [44],Nisei,42,,,,"The Nisei (second generation) felt the pull of two cultures. American born, attending public schools, and influenced by American popular culture, they shared the same idols, favorite songs and sports heroes as most other children of their generation. Wanting to fit in, many Nisei with Japanese first names dropped them for Western ones that their non-Japanese friends could easily pronounce. Yet, most grew up in Japanese neighborhoods, and their parents taught them the customs and values of the old country.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
45,Kibei [45],Kibei,42,,,,"Kibei is the term for the generation of Nisei born in the U.S. but sent to Japan for education. When in Japan, the Kibei lived with grandparents or other relatives while their parents remained in the U.S. to work. Kibei often struggled to fit in both in Japan, where they were viewed as outsiders, and the U.S., where they were considered ""too Japanese"" by their Nisei peers. Because of their knowledge of both cultures and languages, the Kibei in particular were targeted by the government as ""disloyal"" during World War II. Ironically, the Kibei were heavily recruited for the Military Intelligence Service because of their linguistic abilities.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
46,Family [46],Family,42,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
47,Japanese American identity [47],Japanese American identity,42,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
48,Pearl Harbor and aftermath [48],Pearl Harbor and aftermath,399,,,,"The bombing of Pearl Harbor on December 7, 1941, stunned the Japanese American community as much as the rest of the country. Many Issei (first generation) had been receiving news from their families in Japan and were aware of the growing tension between the two countries, but few thought that Japan would provoke the United States into war. Japanese Americans would again be shocked when immediately following the bombing, the FBI began going door to door making arrests. Any issei who was at all prominent was considered a potential spy, including Japanese association officers, language-school principals, and Buddhist priests. Without any meaningful due process, these men -- mostly heads of families -- were summarily separated from their wives and children and incarcerated.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
49,Events prior to Pearl Harbor [49],Events prior to Pearl Harbor,48,,,,"Before the bombing of Pearl Harbor on December 7, 1941, many in the Japanese American community were aware of the growing tension between Japan and the United States. Some had been receiving news from their families overseas, while others had visited Japan and witnessed the growing militarization there. However, few thought that Japan would provoke the much larger United States into war.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
50,"Arrests, searches, and seizures [50]","Arrest, searches, and seizures",48,,,,"Many Nisei (second-generation Japanese Americans) can vividly recall their fathers being hauled off by FBI agents to unidentified destinations for an unknown duration. Not surprisingly, anxiety and uncertainty spread quickly after Pearl Harbor. Many precious heirlooms were burned by families wanting to rid themselves of any connection to Japan. FBI agents raided Japanese American homes, confiscating short wave radios, cameras, and books. With the systematic removal of Issei (first-generation) leaders, the Nisei -- children and teenagers for the most part -- were abruptly asked to represent the larger group as well as their own families. They found themselves translating FBI and military orders for their parents and helping to keep family businesses going.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
51,Personal recollections [51],Personal recollections,48,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
52,Japanese American community responses [52],Japanese American community responses,57,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
53,Responses of non-Japanese Americans [53],Responses of non-Japanese Americans,48,,,,"The reactions of non-Japanese friends, neighbors and classmates were mixed. Some turned their heads and refused to recognize their former friends. Others believed the government propaganda and became outright hostile. Still others helped their Japanese American neighbors by storing belongings and driving them to the places where they were to be picked up. Perhaps only a handful of people understood the true implications of the course of events.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
54,Non-incarcerated Japanese Americans [54],Non-incarcerated Japanese Americans,399,,,,"A small percentage of Japanese Americans were not incarcerated during World War II: those who lived or worked outside the West Coast exclusion area and those who participated in ""voluntary evacuation."" During the war years, many of the non-incarcerated Japanese Americans faced hardship and discrimination, and were viewed with suspicion and even hostility by the greater public.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
56,"""Voluntary evacuation"" [56]","""Voluntary evacuation""",54,,,,"For a three-week period during World War II, after Japanese Americans had been excluded from the West Coast but before plans for concentration camps had been finalized, a period of ""voluntary evacuation"" took place. Government officials hoped that the Japanese Americans barred from keeping their homes on the West Coast would make arrangements to move inland on their own, saving valuable military resources. However, state government officials and residents of neighboring states reacted with outrage that Japanese Americans were being encouraged to move there. Most Japanese Americans feared moving into such hostile territory where they would know no one. Further, few Japanese Americans had the resources to move their families to a new place. In total, 4,889 Japanese Americans left the West Coast ""voluntarily"" and moved to the interior of the U.S. during that period.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
57,"Mass removal (""evacuation"") [57]","Mass removal (""evacuation"")",399,,,,"On March 2, 1942, Public Proclamation No. 1 began to appear on telephone poles and buildings. This was the first official notice Japanese Americans had of their immediate removal from the West Coast. The notices stated that they had six or seven days to prepare, and were to take only what they could carry. They were not told where they would be taken. People rushed to sell or store, in one week, property and belongings acquired over a lifetime. Some families tucked their valuables away in their attic or basement and locked the door, hoping to return soon. On the appointed ""evacuation"" day, thousands of Japanese Americans gathered at designated locations, with the numbered identification tags they had been issued tied to their coats. Watched by curious onlookers, they were met by armed soldiers and transported in buses, private cars, and trains to sixteen temporary ""assembly centers"" in California, Washington, Oregon and Arizona.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
59,Economic losses [59],Economic losses,399,,,,"The economic and emotional toll associated with the uprooting of Japanese Americans from their homes and businesses was enormous. The cost was especially high for the issei (first-generation immigrants), who had worked most of their lives to establish financial security for themselves and their children. Many Japanese Americans bitterly recall being forced to sell property, personal belongings, and business equipment for a fraction of their value to opportunistic scavengers. Evacuees could take only what they could carry. They left behind heirlooms, cherished toys, and family pets. Farmers continued to work for a harvest they would never see, told it would be ""disloyal"" to stop. The bustling Nihonmachis (Japantowns) of the West Coast closed down and never fully recovered, even after the war ended.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
61,Temporary Assembly Centers [61],Temporary Assembly Centers,399,,,,"In spring 1942, the Wartime Civil Control Administration (WCCA) hastily prepared temporary ""assembly centers"" to house the individuals of Japanese ancestry who were removed from their homes after the signing of Executive Order 9066. The centers were surrounded by barbed-wire fences and patrolled by armed military police. People were housed in animal stalls and barracks with communal bathrooms and mess halls. After spending up to six months in the ""assembly centers,"" Japanese Americans were moved inland to permanent concentration camps.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
62,Living conditions [62],Living conditions,61,,,,"The ""assembly centers"" were hastily erected quarters located throughout the West Coast at fairgrounds, racetracks and other similar facilities. Conditions at these locations were appalling. People were housed in animal stalls and barracks with communal bathrooms and mess halls. Privacy was next to nonexistent. Most families lived in a 20-by-20-foot room separated from the next ""apartment"" by wood partitions that did not reach the ceiling. Shortages of food and deplorable sanitation were common. Overcrowding, uncertainty, and stress created tension in the ""assembly centers,"" even as the demoralized camp inmates tried to improve living conditions.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
63,Social and recreational activities [63],Social and recreational activities,61,,,,"Despite deplorable living conditions at the ""assembly centers,"" camp inmates tried to make the best of it by organizing various social and recreational activities. Japanese Americans participated in dances and musical groups; sports and gardening were also popular.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
65,Concentration camps [65],Concentration camps,399,,,,"The War Relocation Authority (WRA) oversaw construction of ten concentration camps in sparsely populated and isolated areas. Between June and October 1942, Japanese Americans were transferred from the ""assembly centers"" to the larger camps. Housing approximately 120,000 people, the camps were designed to be self-contained communities, complete with hospitals, post offices, schools, warehouses, and residential areas. The WRA attempted to establish normalcy by setting up newspapers, a degree of self-government, sports leagues, and social events. But confinement, monotony, and harsh conditions exacerbated tensions between pro- and anti-camp administration residents and between the disempowered Issei and their U.S.-born Nisei children. At several centers, conflicts erupted into violence and at the Manzanar concentration camp the unrest resulted in fatal shootings. The WRA gradually granted work and school leave to those they considered ""loyal."" The last camp closed in March 1946.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
66,The journey [66],The journey,65,,,,"The journey from temporary ""assembly centers"" to permanent concentration camps was a difficult and disorienting experience. Japanese Americans were transported in buses and trains to desolate regions of the country guarded by armed soldiers. Forced to keep the window shades drawn, camp inmates were unaware of where they were going, and were often shocked by the harsh landscape upon arrival.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
67,Living conditions [67],Living conditions,65,,,,"All of the camps were constructed according to the War Department's specifications, which included barbed-wire fences, guard towers, and armed guards around the perimeter. The camps were organized in ""blocks"" consisting of twelve to fourteen barracks, a mess hall, communal showers and toilets, laundry facilities, and a recreation hall. Each barracks was divided into four or six rooms with each room housing one family, no matter how large, and there was no running water. The furnishings that Japanese Americans found on their arrival were canvas cots, a potbellied stove, and a single bare light bulb. The thin walls offered little protection from the harsh weather, which ranged from 110 degrees in the summer to 25 degrees below zero on winter nights. The flimsy construction allowed no privacy and made normal family life difficult. Camp inmates improved their own living conditions by creating interior walls and partitions, constructing furniture from scrap lumber, and planting gardens.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
68,Food [68],Food,65,,,,"The eating facilities in the camps were large mess halls with long lines and crowded tables. Group living tended to erode family solidarity, as teenagers escaped parental authority by eating with friends rather than family. The quality of the food was poor and milk and fresh meat were constantly in short supply. Inexpensive foods such as wieners, dried fish, pancakes, macaroni and pickled vegetables were served often. The diets of the camp inmates improved only after they began growing some of their own food.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
69,"Facilities, services and camp administration [69]","Facilities, services, and camp administration",65,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
70,Medical care and health issues [70],Medical care and health issues,65,,,,"Medical and dental facilities were for the most part inadequate, lacking in both equipment and staff. Doctors and nurses were overworked, and treatment was often substandard as well as delayed. Camp inmates recall outbreaks of food poisoning, tuberculosis and dysentery epidemics, and preventable deaths of patients and newborns.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
71,Holidays and festivals [71],Holidays and festivals,65,,,,"Striving to maintain normal lives, Japanese Americans held holiday celebrations and festivals inside the concentration camps. Whether decorating mess halls during the Christmas holiday as part of a camp-wide competition or participating in parades to celebrate the harvest of crops from their own gardens, the Japanese Americans demonstrated their resourcefulness and resilience.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
72,Sports [72],Sports,65,,,,"Sports were a major form of recreation for the Issei and Nisei in the camps. Baseball became the preferred sport for both, although basketball and football were also popular among the Nisei. Organized teams, often consisting of friends from prewar neighborhoods, played each other in highly competitive matches. Other sports, like ping-pong, judo, boxing, badminton, and sumo wrestling were also popular pastimes.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
73,Education [73],Education,65,,,,"Schools were quickly organized in the concentration camps, but they suffered from crude facilities and lack of teaching materials. Instruction was given for nursery through high school, and adult education was offered. Trained teachers were in short supply, however, and uncertified Japanese Americans with college degrees often filled in. The War Relocation Authority (WRA) deliberately emphasized Americanization in the education program. Some found it painfully ironic to watch incarcerated youth recite the Pledge of Allegiance.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
74,Publications [74],Publications,65,,,,"From 1942-1945, camp inmates published newspapers documenting events inside and outside the camps. Although published under the direction of the camp administration, these newspapers were important for building and maintaining a sense of community among the Japanese Americans.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
75,Religion [75],Religion,65,,,,"Japanese Americans used religion as one way to handle the stress of the incarceration experience. Church served as both a spiritual comfort and a place for community gatherings. On Sundays, Buddhist and Christian services and Sunday schools were held in the recreation halls. State Shintoism was another popular religion within the Japanese American community but was banned by the U.S. government on the grounds that it included ""Emperor worship."" Church services initially were given in both Japanese and English, but camp authorities later banned the use of Japanese at all group gatherings (although translation into Japanese was later permitted at some religious services).",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
76,Work and jobs [76],Work and jobs,65,,,,"Both Issei and Nisei took jobs within the camps, at wages set not to exceed soldiers' pay: $12 per month for unskilled labor, $16 for skilled labor, and $19 for professional employees. WRA staff was paid much more for the same jobs. Though public opinion mandated such low pay, dissatisfied Japanese Americans objected to losing their right to make a decent living. They had to use their sparse income for necessities, such as warm clothing and shoes.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
78,Impact of incarceration [78],Impact of incarceration,65,,,,,2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
80,Support from the non-Japanese American community [80],Support from the non-Japanese American community,399,,,,"During mass removal and incarceration, Japanese Americans received outside support and assistance from religious organizations, civil rights groups, and other concerned individuals. The American Friends Service Committee was one of the most active groups to help the Japanese American community during World War II. Committee members donated educational materials to the camp schools and libraries and were influential in persuading the government to allow Nisei to leave the camps for colleges in the interior of the country. Ministers, peace activists and other supporters of the Japanese American community often visited the camps and spoke out publicly against the incarceration. Church groups across the country also organized clothing and food drives for the camp inmates.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
